"Name","Status","StartType","DisplayName"
"Steam Client Service","Stopped","Manual","Steam Client Service"
"StiSvc","Running","Automatic","Adquisición de imágenes de Windows (WIA)"
"StorSvc","Running","Automatic","Servicio de almacenamiento"
"svsvc","Stopped","Manual","Comprobador puntual"
"swprv","Stopped","Manual","Proveedor de instantáneas de software de Microsoft"
"SysMain","Running","Automatic","SysMain"
"SystemEventsBroker","Running","Automatic","Agente de eventos del sistema"
"TapiSrv","Stopped","Manual","Telefonía"
"TermService","Stopped","Manual","Servicios de Escritorio remoto"
"TextInputManagementService","Running","Automatic","Servicio de administración de entrada de texto"
"Themes","Running","Automatic","Temas"
"TieringEngineService","Stopped","Manual","Administración de capas de almacenamiento"
"TimeBrokerSvc","Running","Manual","Agente de eventos de tiempo"
"TokenBroker","Running","Manual","Administrador de cuentas web"
"TrkWks","Running","Automatic","Cliente de seguimiento de vínculos distribuidos"
"TroubleshootingSvc","Stopped","Manual","Servicio de solución de problemas recomendada"
"TrustedInstaller","Stopped","Manual","Instalador de módulos de Windows"
"tzautoupdate","Stopped","Disabled","Actualizador de zona horaria automática"
"ucldr_battlegrounds_gl","Stopped","Manual","Uncheater for BattleGrounds_GL"
"UdkUserSvc_6b56362","Running","Manual","Servicio de usuario de Udk_6b56362"
"UevAgentService","Stopped","Disabled","Servicio de virtualización de la experiencia de usuario"
"uhssvc","Stopped","Disabled","Microsoft Update Health Service"
"UmRdpService","Stopped","Manual","Redirector de puerto en modo usuario de Servicios de Escritorio remoto"
"UnistoreSvc_6b56362","Running","Manual","Almacenamiento de datos de usuarios_6b56362"
"upnphost","Stopped","Manual","Dispositivo host de UPnP"
"UserDataSvc_6b56362","Running","Manual","Acceso a datos de usuarios_6b56362"
"UserManager","Running","Automatic","Administrador de usuarios"
"UsoSvc","Running","Automatic","Servicio Orquestador de actualizaciones"
"VacSvc","Stopped","Manual","Servicio Volumetric Audio Compositor"
"VaultSvc","Running","Manual","Administrador de credenciales"
"vds","Stopped","Manual","Disco virtual"
"VMAuthdService","Running","Automatic","VMware Authorization Service"
"vmcompute","Running","Manual","Servicio de proceso de host de Hyper-V"
"vmicguestinterface","Stopped","Manual","Interfaz de servicio invitado de Hyper-V"
"vmicheartbeat","Stopped","Manual","Servicio de latido de Hyper-V"
"vmickvpexchange","Stopped","Manual","Servicio de intercambio de datos de Hyper-V"
"vmicrdv","Stopped","Manual","Servicio de virtualización de Escritorio remoto de Hyper-V"
"vmicshutdown","Stopped","Manual","Servicio de cierre de invitado de Hyper-V"
"vmictimesync","Stopped","Manual","Servicio de sincronización de hora de Hyper-V"
"vmicvmsession","Stopped","Manual","Servicio PowerShell Direct de Hyper-V"
"vmicvss","Stopped","Manual","Solicitante de instantáneas de volumen de Hyper-V"
"VMnetDHCP","Running","Automatic","VMware DHCP Service"
"VMUSBArbService","Running","Automatic","VMware USB Arbitration Service"
"VMware NAT Service","Running","Automatic","VMware NAT Service"
"VSS","Stopped","Manual","Instantáneas de volumen"
"W32Time","Stopped","Manual","Hora de Windows"
"WaaSMedicSvc","Stopped","Manual","WaaSMedicSvc"
"WalletService","Stopped","Manual","WalletService"
